Country and regions,Both sexes rank,Both sexes life expectancy,Female rank,Female life expectancy,Male rank,Male life expectancy,Both sexes rank (HALE),Both sexes life expectancy (HALE)
Afghanistan,161,60.5,161,61.9,158,59.3,164,52.2
Albania,37,77.8,38,80.7,39,75.1,38,68.8
Algeria,60,75.6,81,77.5,50,73.8,75,66.0
Angola,182,52.4,182,54.0,181,50.9,182,45.8
Antigua and Barbuda,49,76.4,57,78.6,46,74.1,50,67.5
Argentina,50,76.3,44,79.9,65,72.7,49,67.6
Armenia,73,74.8,79,77.7,75,71.6,59,66.8
Australia,4,82.8,7,84.8,3,80.9,15,71.9
Austria,18,81.5,14,83.9,19,79.0,12,72.0
Azerbaijan,96,72.7,97,75.8,95,69.6,93,64.7
Bahamas,53,76.1,50,79.1,62,72.9,65,66.6
Bahrain,45,76.9,71,77.9,37,76.2,55,67.0
Bangladesh,102,71.8,113,73.1,89,70.6,111,62.3
Barbados,62,75.5,71,77.9,59,73.1,65,66.6
Belarus,98,72.3,66,78.0,119,66.5,85,65.1
Belgium,21,81.1,22,83.5,22,78.6,26,71.1
Belize,112,70.1,113,73.1,110,67.5,111,62.3
Benin,162,60.0,164,61.1,163,58.8,162,52.5
Bhutan,114,69.8,126,70.1,97,69.5,120,61.2
Bolivia,108,70.7,110,73.3,103,68.2,113,62.2
Bosnia and Herzegovina,42,77.4,45,79.7,40,75.0,40,68.6
Botswana,137,65.7,136,68.1,137,63.3,138,56.9
Brazil,67,75.0,56,78.7,78,71.4,81,65.5
Brunei,39,77.7,47,79.2,36,76.3,29,70.4
Bulgaria,80,74.5,66,78.0,86,71.1,72,66.4
Burkina Faso,163,59.9,167,60.5,160,59.1,161,52.6
Burundi,166,59.6,162,61.6,168,57.7,164,52.2
Cambodia,123,68.7,123,70.7,116,66.6,130,58.9
Cameroon,174,57.3,173,58.6,174,55.9,173,50.3
Canada,12,82.2,10,84.1,8,80.2,10,72.3
Cape Verde,93,73.3,103,75.0,81,71.3,97,64.4
Central African Republic,181,52.5,181,54.1,181,50.9,181,45.9
Chad,180,53.1,179,54.5,179,51.7,180,46.1
Chile,28,80.5,23,83.4,29,77.4,29,70.4
China,53,76.1,80,77.6,44,74.6,41,68.5
Colombia,73,74.8,61,78.4,84,71.2,85,65.1
Comoros,146,63.5,151,65.2,144,61.9,145,55.9
Congo,142,64.7,144,66.3,138,63.2,140,56.6
Costa Rica,30,79.6,30,82.2,31,77.1,31,69.7
Cote d'Ivoire,179,53.3,180,54.4,178,52.3,178,47.0
Croatia,36,78.0,36,81.2,42,74.7,33,69.4
Cuba,32,79.1,34,81.4,32,76.9,35,69.2
Cyprus,28,80.5,28,82.7,24,78.3,23,71.3
Czech Republic,33,78.8,32,81.7,38,75.9,33,69.4
Denmark,27,80.6,29,82.5,22,78.6,25,71.2
Djibouti,146,63.5,150,65.3,145,61.8,148,55.8
Dominican Republic,88,73.9,84,77.1,87,70.9,85,65.1
DR Congo,165,59.8,163,61.5,165,58.3,166,51.7
Ecuador,51,76.2,53,79.0,53,73.5,55,67.0
Egypt,107,70.9,111,73.2,99,68.8,113,62.2
El Salvador,91,73.5,71,77.9,99,68.8,98,64.1
Equatorial Guinea,171,58.2,169,60.0,171,56.6,169,51.2
Eritrea,142,64.7,141,67.0,141,62.4,145,55.9
Estonia,40,77.6,31,82.0,65,72.7,37,68.9
Ethiopia,141,64.8,143,66.8,140,62.8,143,56.1
Fiji,113,69.9,113,73.1,113,67.0,108,62.9
Finland,21,81.1,16,83.8,24,78.3,28,71.0
France,9,82.4,5,85.4,16,79.4,8,72.6
Gabon,135,66.0,138,67.2,127,64.7,137,57.2
Gambia,159,61.1,159,62.5,156,59.8,157,53.8
Georgia,82,74.4,63,78.3,91,70.3,70,66.5
Germany,24,81.0,23,83.4,21,78.7,23,71.3
Ghana,153,62.4,155,63.9,149,61.0,151,55.3
Greece,24,81.0,20,83.6,24,78.3,15,71.9
Grenada,89,73.6,91,76.1,84,71.2,88,65.0
Guatemala,101,71.9,100,75.2,102,68.5,116,62.1
Guinea,167,59.0,171,59.8,166,58.2,166,51.7
Guinea-Bissau,168,58.9,167,60.5,169,57.2,168,51.5
Guyana,133,66.2,133,68.5,134,63.9,130,58.9
Haiti,146,63.5,148,65.5,147,61.5,150,55.4
Honduras,77,74.6,85,77.0,71,72.3,90,64.9
Hungary,57,75.9,50,79.1,71,72.3,52,67.4
Iceland,6,82.7,10,84.1,2,81.2,7,72.7
India,125,68.3,128,69.9,115,66.9,126,59.5
Indonesia,120,69.1,119,71.2,112,67.1,113,62.2
Iran,62,75.5,86,76.6,45,74.5,65,66.6
Iraq,121,68.9,118,71.8,121,66.2,124,60.0
Ireland,19,81.4,23,83.4,16,79.4,20,71.5
Israel,8,82.5,9,84.3,5,80.6,5,72.8
Italy,6,82.7,7,84.8,6,80.5,5,72.8
Jamaica,51,76.2,57,78.6,48,73.9,58,66.9
Japan,1,83.7,1,86.8,6,80.5,1,74.9
Jordan,84,74.1,96,75.9,70,72.5,88,65.0
Kazakhstan,111,70.2,105,74.7,123,65.7,104,63.3
Kenya,149,63.4,147,65.8,148,61.1,149,55.6
Kiribati,131,66.3,131,68.8,136,63.7,128,59.1
Kuwait,76,74.7,93,76.0,51,73.7,78,65.8
Kyrgyzstan,106,71.1,102,75.1,111,67.2,101,63.8
Laos,137,65.7,138,67.2,133,64.1,133,57.9
Latvia,77,74.6,47,79.2,95,69.6,54,67.1
Lebanon,70,74.9,87,76.5,53,73.5,79,65.7
Lesotho,178,53.7,178,55.4,179,51.7,179,46.6
Liberia,158,61.4,157,62.9,156,59.8,160,52.7
Libya,96,72.7,98,75.6,92,70.1,101,63.8
Lithuania,89,73.6,50,79.1,104,68.1,75,66.0
Luxembourg,13,82.0,12,84.0,13,79.8,17,71.8
Macedonia,59,75.7,76,77.8,53,73.5,50,67.5
Madagascar,140,65.5,141,67.0,134,63.9,138,56.9
Malawi,170,58.3,170,59.9,170,56.7,169,51.2
Malaysia,67,75.0,83,77.3,65,72.7,70,66.5
Maldives,34,78.5,41,80.2,32,76.9,32,69.6
Mali,171,58.2,175,58.3,166,58.2,171,51.1
Malta,16,81.7,17,83.7,15,79.7,18,71.7
Mauritania,150,63.1,153,64.6,146,61.6,152,55.1
Mauritius,77,74.6,76,77.8,78,71.4,59,66.8
Mexico,46,76.7,46,79.5,48,73.9,52,67.4
Micronesia,116,69.4,124,70.6,104,68.1,109,62.5
Moldova,99,72.1,90,76.2,106,67.9,92,64.8
Mongolia,122,68.8,111,73.2,127,64.7,119,62.0
Montenegro,53,76.1,65,78.1,46,74.1,44,67.9
Morocco,83,74.3,99,75.4,56,73.3,90,64.9
Mozambique,173,57.6,172,59.4,175,55.7,175,49.6
Myanmar,129,66.6,133,68.5,130,64.6,127,59.2
Namibia,136,65.8,135,68.3,139,63.1,136,57.5
Nepal,118,69.2,121,70.8,109,67.7,121,61.1
Netherlands,14,81.9,20,83.6,10,80.0,11,72.2
New Zealand,17,81.6,26,83.3,10,80.0,19,71.6
Nicaragua,73,74.8,71,77.9,77,71.5,103,63.7
Niger,155,61.8,158,62.8,150,60.9,154,54.2
Nigeria,177,54.5,177,55.6,177,53.4,177,47.7
North Korea,109,70.6,107,74.0,113,67.0,100,64.0
Norway,15,81.8,17,83.7,13,79.8,12,72.0
Oman,48,76.6,47,79.2,40,75.0,63,66.7
Pakistan,130,66.4,137,67.5,125,65.5,134,57.8
Panama,37,77.8,37,81.1,42,74.7,42,68.1
Papua New Guinea,151,62.9,149,65.4,152,60.6,142,56.4
Paraguay,86,74.0,93,76.0,73,72.2,83,65.2
Peru,62,75.5,66,78.0,59,73.1,80,65.6
Philippines,124,68.5,117,72.0,126,65.3,121,61.1
Poland,41,77.5,35,81.3,52,73.6,39,68.7
Portugal,21,81.1,14,83.9,27,78.2,21,71.4
Qatar,35,78.2,43,80.0,29,77.4,47,67.7
Romania,67,75.0,55,78.8,78,71.4,59,66.8
Russia,110,70.5,89,76.3,127,64.7,104,63.3
Rwanda,134,66.1,120,71.1,150,60.9,140,56.6
Saint Lucia,66,75.2,71,77.9,68,72.6,74,66.1
Saint Vincent and the Grenadines,94,73.2,100,75.2,81,71.3,94,64.6
Samoa,86,74.0,81,77.5,87,70.9,65,66.6
Sao Tome and Principe,127,67.5,130,69.4,124,65.6,128,59.1
Saudi Arabia,80,74.5,93,76.0,58,73.2,96,64.5
Senegal,128,66.7,132,68.6,130,64.6,132,58.3
Serbia,60,75.6,61,78.4,62,72.9,47,67.7
Seychelles,94,73.2,66,78.0,98,69.1,81,65.5
Sierra Leone,183,50.1,183,50.8,183,49.3,183,44.4
Singapore,3,83.1,2,86.1,10,80.0,2,73.9
Slovakia,46,76.7,41,80.2,62,72.9,42,68.1
Slovenia,26,80.8,17,83.7,28,77.9,26,71.1
Solomon Islands,118,69.2,121,70.8,106,67.9,116,62.1
Somalia,176,55.0,176,56.6,176,53.5,176,47.8
South Africa,151,62.9,145,66.2,158,59.3,153,54.5
South Korea,11,82.3,3,85.5,20,78.8,3,73.2
South Sudan,174,57.3,173,58.6,173,56.1,174,49.9
Spain,4,82.8,3,85.5,9,80.1,9,72.4
Sri Lanka,70,74.9,63,78.3,75,71.6,55,67.0
Sudan,145,64.1,146,65.9,141,62.4,145,55.9
Suriname,103,71.6,105,74.7,101,68.6,107,63.1
Swaziland,168,58.9,164,61.1,171,56.6,172,50.9
Sweden,9,82.4,12,84.0,4,80.7,12,72.0
Switzerland,2,83.4,6,85.3,1,81.3,4,73.1
Syria,144,64.5,128,69.9,154,59.9,143,56.1
Tajikistan,115,69.7,109,73.6,116,66.6,116,62.1
Tanzania,155,61.8,156,63.8,154,59.9,155,54.1
Thailand,70,74.9,66,78.0,74,71.9,59,66.8
Timor-Leste,125,68.3,126,70.1,116,66.6,123,60.7
Togo,163,59.9,164,61.1,164,58.6,159,52.8
Tonga,91,73.5,88,76.4,89,70.6,75,66.0
Trinidad and Tobago,105,71.2,104,74.8,106,67.9,104,63.3
Tunisia,65,75.3,76,77.8,61,73.0,63,66.7
Turkey,58,75.8,54,78.9,68,72.6,73,66.2
Turkmenistan,131,66.3,125,70.5,143,62.2,125,59.8
Uganda,154,62.3,154,64.3,153,60.3,156,54.0
Ukraine,104,71.3,91,76.1,120,66.3,98,64.1
United Arab Emirates,43,77.1,57,78.6,35,76.4,44,67.9
United Kingdom,20,81.2,27,83.0,16,79.4,21,71.4
United States,31,79.3,33,81.6,32,76.9,36,69.1
Uruguay,44,77.0,40,80.4,56,73.3,44,67.9
Uzbekistan,116,69.4,116,72.7,122,66.1,110,62.4
Vanuatu,100,72.0,107,74.0,92,70.1,94,64.6
Venezuela,84,74.1,60,78.5,94,70.0,83,65.2
Vietnam,56,76.0,38,80.7,81,71.3,65,66.6
Yemen,137,65.7,138,67.2,132,64.3,135,57.7
Zambia,155,61.8,152,64.7,161,59.0,158,53.6
Zimbabwe,160,60.7,160,62.3,161,59.0,163,52.3